Year,Month,Imported Cases,Local Cases,Total
2002,1,2,0,2
2002,2,0,0,0
2002,3,0,0,0
2002,4,1,0,1
2002,5,2,0,2
2002,6,1,0,1
2002,7,0,0,0
2002,8,4,0,4
2002,9,4,13,17
2002,10,5,6,12
2002,11,4,0,4
2002,12,1,0,1
2003,1,5,0,5
2003,2,5,0,5
2003,3,0,0,0
2003,4,1,0,1
2003,5,4,0,4
2003,6,4,0,4
2003,7,4,0,4
2003,8,12,0,12
2003,9,6,0,6
2003,10,2,1,3
2003,11,1,0,1
2003,12,4,0,4
2004,1,5,0,5
2004,2,3,0,3
2004,3,1,0,1
2004,4,1,0,1
2004,5,2,0,2
2004,6,2,0,2
2004,7,3,0,3
2004,8,5,0,5
2004,9,4,0,4
2004,10,1,0,1
2004,11,2,0,2
2004,12,2,0,2
2005,1,0,0,0
2005,2,2,0,2
2005,3,1,0,1
2005,4,3,0,3
2005,5,0,0,0
2005,6,2,0,2
2005,7,2,0,2
2005,8,4,0,4
2005,9,5,0,5
2005,10,4,0,4
2005,11,4,0,4
2005,12,4,0,4
2006,1,3,0,3
2006,2,1,0,1
2006,3,1,0,1
2006,4,4,0,4
2006,5,2,0,2
2006,6,3,0,3
2006,7,4,0,4
2006,8,5,0,5
2006,9,1,0,1
2006,10,4,0,4
2006,11,2,0,2
2006,12,1,0,1
2007,1,2,0,2
2007,2,1,0,1
2007,3,1,0,1
2007,4,2,0,2
2007,5,2,0,2
2007,6,3,0,3
2007,7,6,0,6
2007,8,23,0,23
2007,9,6,0,6
2007,10,6,0,6
2007,11,4,0,4
2007,12,2,0,2
2008,1,3,0,3
2008,2,4,0,4
2008,3,0,0,0
2008,4,4,0,4
2008,5,3,0,3
2008,6,1,0,1
2008,7,3,0,3
2008,8,9,0,9
2008,9,4,0,4
2008,10,5,0,5
2008,11,4,0,4
2008,12,2,0,2
2009,1,0,0,0
2009,2,3,0,3
2009,3,4,0,4
2009,4,8,0,8
2009,5,5,0,5
2009,6,1,0,1
2009,7,2,0,2
2009,8,2,0,2
2009,9,3,0,3
2009,10,4,0,4
2009,11,8,0,8
2009,12,3,0,3
2010,1,4,0,4
2010,2,3,0,3
2010,3,5,0,5
2010,4,5,0,5
2010,5,6,0,6
2010,6,8,0,8
2010,7,4,0,4
2010,8,18,0,18
2010,9,12,4,16
2010,10,7,0,7
2010,11,6,0,6
2010,12,1,0,1
2011,1,3,0,3
2011,2,1,0,1
2011,3,0,0,0
2011,4,2,0,2
2011,5,3,0,3
2011,6,0,0,0
2011,7,0,0,0
2011,8,8,0,8
2011,9,3,0,3
2011,10,2,0,2
2011,11,4,0,4
2011,12,4,0,4
2012,1,4,0,4
2012,2,5,0,5
2012,3,5,0,5
2012,4,5,0,5
2012,5,5,0,5
2012,6,2,0,2
2012,7,6,0,6
2012,8,6,0,6
2012,9,6,0,6
2012,10,3,0,3
2012,11,3,0,3
2012,12,3,0,3
2013,1,12,0,12
2013,2,4,0,4
2013,3,4,0,4
2013,4,6,0,6
2013,5,7,0,7
2013,6,7,0,7
2013,7,11,0,11
2013,8,18,0,18
2013,9,12,0,12
2013,10,3,0,3
2013,11,15,0,15
2013,12,4,0,4
2014,1,1,0,1
2014,2,6,0,6
2014,3,1,0,1
2014,4,15,0,15
2014,5,2,0,2
2014,6,11,0,11
2014,7,11,0,11
2014,8,13,0,13
2014,9,10,0,10
2014,10,26,1,27
2014,11,10,2,12
2014,12,3,0,3
2015,1,13,0,13
2015,2,0,0,0
2015,3,7,0,7
2015,4,10,0,10
2015,5,4,0,4
2015,6,12,1,13
2015,7,6,0,6
2015,8,16,0,16
2015,9,14,0,14
2015,10,14,0,14
2015,11,9,1,10
2015,12,5,1,6
2016,1,9,0,9
2016,2,9,0,9
2016,3,4,0,4
2016,4,11,0,11
2016,5,11,0,11
2016,6,7,0,7
2016,7,13,0,13
2016,8,16,2,18
2016,9,19,2,21
2016,10,8,0,8
2016,11,9,0,9
2016,12,4,0,4
2017,1,9,0,9
2017,2,5,0,5
2017,3,4,0,4
2017,4,4,0,4
2017,5,11,0,11
2017,6,17,0,17
2017,7,8,0,8
2017,8,12,1,13
2017,9,9,0,9
2017,10,10,0,10
2017,11,7,0,7
2017,12,5,0,5
2018,1,6,0,6
2018,2,2,0,2
2018,3,3,0,3
2018,4,8,0,8
2018,5,5,0,5
2018,6,17,0,17
2018,7,12,1,13
2018,8,11,29,39
