Year,Month,pressure,absmax,avgmax,avg,avgmin,absmin,dewpoint,relhumidity,totalrain,winddic,windspeed,OI%,time,MOY,OI proportion ,OI%*55,OI%*55 R,OI,OI*100 R,,
2009,1,1021.7,26.1,19.33333333,15.6,12.53333333,8.3,7.033333333,60.66666667,0,120,9.366666667,0,1,January,0,0,0,0,0,,
2009,2,1015.3,28.7,23.8,20.4,17.96666667,13.9,16.56666667,79.33333333,4.1,120,9.733333333,0.3,2,February,0.003,16.5,16,0,0,,
2009,3,1015,27.9,22.2,19.7,17.63333333,12.2,16.4,81.66666667,130.3,106.6666667,9.433333333,0.69,3,March,0.0069,37.95,38,0,1,,
2009,4,1013.3,30.8,24.46666667,21.96666667,20.03333333,16.2,17.16666667,75.66666667,96,106.6666667,12.73333333,3.26,4,April,0.0326,179.3,179,2,3,,
2009,5,1010.8,31.6,27.93333333,25.26666667,23,18.4,20.9,78.33333333,202.3,110,11.6,11.6,5,May,0.116,638,638,6,12,,
2009,6,1004.9,32.9,30.13333333,27.63333333,25.43333333,22,24.76666667,84.66666667,356.8,180,7.733333333,22.56,6,June,0.2256,1240.8,1241,12,23,,
2009,7,1005.1,35.3,31.26666667,28.73333333,26.6,23,25.33333333,82.33333333,386.7,110,9.833333333,16.89,7,July,0.1689,928.95,929,9,17,,
2009,8,1004.8,35.3,31.83333333,29.1,26.9,24.5,25.6,82.33333333,293.5,183.3333333,7.5,13.89,8,August,0.1389,763.95,764,7,14,,
2009,9,1007.4,33.7,31.56666667,28.8,26.53333333,24,24.26666667,77.33333333,531.2,103.3333333,11.8,9.1,9,September,0.091,500.5,500,5,9,,
2009,10,1012.3,32,28.8,25.86666667,23.73333333,21.2,20.3,72.33333333,23.2,103.3333333,9.533333333,8.07,10,October,0.0807,443.85,444,4,8,,
2009,11,1017.6,31.5,23.93333333,20.6,17.83333333,8.8,14.4,69.33333333,57,96.66666667,9.366666667,1.62,11,November,0.0162,89.1,89,1,2,,
2009,12,1019.2,25.6,20,17.5,15.26666667,8.5,12.63333333,74.66666667,42.6,96.66666667,8.966666667,0,12,December,0,0,0,0,0,,
2010,1,1020.3,26.1,19.93333333,17.2,15.2,9.2,12.7,75.66666667,24.4,96.66666667,9.4,0,13,January,0,0,0,0,0,,
2010,2,1016.4,27,19.96666667,18,16.5,7,15.43333333,85.66666667,92.4,96.66666667,8.133333333,0.16,14,February,0.0016,8.8,9,0,0,,
2010,3,1016.7,29.1,23.1,20.2,17.96666667,7.3,15.6,76,7.7,103.3333333,9.3,1.95,15,March,0.0195,107.25,107,1,2,,
2010,4,1014.5,30.1,23.8,21.26666667,19.2,12.9,18.23333333,83,90.6,96.66666667,9.8,2.96,16,April,0.0296,162.8,163,2,3,,
2010,5,1008.8,31,28.26666667,25.6,23.6,20,22.63333333,84.66666667,184,103.3333333,8.866666667,8.4,17,May,0.084,462,462,5,8,,
2010,6,1007.8,32.3,28.93333333,26.86666667,25.13333333,20.2,24.43333333,87.33333333,450.3,183.3333333,8.166666667,12.4,18,June,0.124,682,682,7,12,,
2010,7,1008.1,33.5,31.6,28.9,26.46666667,23.4,25.63333333,83.33333333,416.3,256.6666667,8.866666667,15.61,19,July,0.1561,858.55,859,9,15,,
2010,8,1008.1,33.8,31.8,28.66666667,26,23,25,81.66666667,268.2,100,7.7,10.24,20,August,0.1024,563.2,563,6,10,,
2010,9,1008.7,34.6,30.6,27.9,25.53333333,22.6,24.46666667,82.66666667,625.3,100,7.866666667,8.48,21,September,0.0848,466.4,466,5,8,,
2010,10,1012.5,32.8,27.67,25.07,22.9,14.9,18.4,67.67,33.2,66.67,11.47,3,22,October,0.03,165,165,2,3,,
2010,11,1017.2,28.8,24.6,21.13,18.6,16.2,15.37,71.33,37.3,93.33,8.53,0.16,23,November,0.0016,8.8,9,0,0,,
2010,12,1016.3,28.5,21.53,17.93,14.47,5,10.13,63.67,18.4,93.33,9.1,0.15,24,December,0.0015,8.25,8,0,0,,
