year,month,temperature_max_abs,temperature_max_avg,temperature_avg,temperature_min_avg,temperature_min_abs,rel_humidity,total_rain,wind_dir,wind_speed,ovitrap_idx
2009,1,26.1,19,15.2,12.2,8.7,60,0,100,9.5,0
2009,2,28.7,23.8,20.2,17.9,15.4,82,2.5,100,9.8,0.3
2009,3,27.9,21.8,19.3,17.3,12.2,83,128,100,9.7,0.690909091
2009,4, 30.8#, 24.4#, 21.5#, 19.7#, 16.2#, 75#,  67.0#, 100#,  12.4#,3.263636364
2009,5,31.6,28,25.2,23,20.3,79,260.5,110,10.6,11.6
2009,6,32.9,30.6,27.9,25.9,23.9,82,381,280,8,22.56363636
2009,7,35.3,31.6,28.8,26.6,23.2,81,394.5,110,10.5,16.89090909
2009,8,35.3,32.1,29.3,27.3,24.5,81,318,270,7.7,13.89090909
2009,9,33.7,31.5,28.6,26.4,24,78,497.5, 110#,  11.2#,9.1
2009,10,31.4,29,26,24,22.4,71,22.5,110,9.6,8.072727273
2009,11,30.5,23.6,20.2,17.7,8.8,70,59,110,9.3,1.618181818
2009,12,25.1,19.6,17.1,15,8.5,76,49,110,9.3,0
2010,1,25.6,19.4,16.6,14.6,9.2,79,23.5,110,9.6,0
2010,2,27,19.7,17.6,15.9,7,87,120,110,9.4,0.163636364
2010,3,29.1,22.9,19.8,17.7,7.3,78,17.5,110,9.5,1.954545455
2010,4,30.1,23.6,20.8,18.6,12.9,85,86,110,11.2,2.963636364
2010,5,31,28.2,25.4,23.4,20.1,86,177.5,110,10,8.4
2010,6,32.3,29.4,27,25.2,20.2,86,465.5,270,9.1,12.4
2010,7,33.5,32,29.1,26.6,23.4,82,455.5,270,9.6,15.60909091
2010,8,33.8,32,28.8,26.2,23,81,337,100,7.7,10.23636364
2010,9,34.6,30.8,27.9,25.6,22.6,82,551,100,8.4,8.481818182
2010,10,32.1,27.2,24.6,22.5,14.9,69,33,20,11.4,3
2010,11,27.4,24.6,21,18.6,16.3,72,43.5,100,8.6,0.163636364
2010,12,27.9,21.4,17.8,14.8,5,63,19,100,9.1,0.145454545
2011,1,20.7,16.4,13.2,10.7,6.2,64,5.5,20,8.2,0
2011,2,26.8,19.1,15.8,13.6,7.5,77,22,110,8.9,0.15
2011,3,27.6,20.6, 17.4#,15.1,11.8, 70#,   5.5#, 100#,   9.6#,0
2011,4,28.9,26.3,22.4,19.9,16.2,77,7,100,8.3,1.191666667
2011,5,32.9,28.8,25.8,23.6,18.9,81,166.5,100,8.2,10.13333333
2011,6,33.5,30.9,28.3,26.3,23.9,83,477.5,110,9.5,10.00833333
2011,7,33,31.2,28.5,26.6,24.6,82,218.5,280,8.7,12.8
2011,8,34.6,32.3,29.2,26.9,24.7,78,154.5,270,7.3,7.258333333
