year,month,temperature_max_abs,temperature_max_avg,temperature_avg,temperature_min_avg,temperature_min_abs,rel_humidity,total_rain,wind_dir,wind_speed,ovitrap_idx
2009,1,27.9,19.1,14.68571429,11.05714286,0.8,59.85714286,0.083333333,115,9,0
2009,2,30.4,24.05714286,20.32857143,17.78571429,10,79.85714286,1.083333333,110,8.05,0
2009,3,29.1,22.02857143,19.2,16.94285714,9.7,81.85714286,126.6666667,65,8.225,0
2009,4,31.7,24.95714286,22.07142857,19.78571429,15.2,74,131.6666667,90,9.6,6.514285714
2009,5,33.8,28.75714286,25.42857143,22.77142857,18,75.85714286,281.1666667,95,9.325,8.214285714
2009,6,34.4,31.07142857,27.92857143,25.44285714,20.6,81.42857143,281.9166667,167.5,7.5,23.67142857
2009,7,37,32.18571429,29.02857143,26.51428571,23.1,78.85714286,257,167.5,9.2,13.1
2009,8,36.3,32.67142857,29.18571429,26.65714286,22,80.14285714,270.4166667,162.5,6.825,14.71428571
2009,9,36.3,32.15714286,28.78571429,26.25714286,22.3,75.42857143,309.3333333,70,10.125,11.42857143
2009,10,33.5,29.65714286,26.04285714,23.41428571,19.4,69.14285714,8.75,70,8.125,8.042857143
2009,11,32.7,23.5,19.58571429,16.51428571,6.9,68.57142857,34.33333333,190,9.4,1.771428571
2009,12,26.6,19.71428571,16.74285714,14.17142857,6.5,74.14285714,39.5,195,8.15,0
2010,1,27.8,19.45714286,16.41428571,13.97142857,4,76.71428571,25.58333333,135,8.025,0
2010,2,29.3,19.94285714,17.42857143,15.54285714,5.9,84.14285714,89.83333333,175,8.85,0
2010,3,29.7,23.07142857,19.75714286,17.3,4.7,76,15.58333333,132.5,9.025,0.742857143
2010,4,30.5,23.81428571,20.9,18.7,10.8,82.85714286,110.6666667,110,8.6,1.271428571
2010,5,32.1,28.52857143,25.58571429,23.34285714,17.1,83,213.0833333,132.5,8.375,8.228571429
2010,6,34.6,29.7,27.11428571,25.15714286,19.4,83.14285714,288.4166667,167.5,8.225,14.77142857
2010,7,35.8,32.62857143,29.11428571,26.34285714,23.1,79,352.5,167.5,8.4,13.24285714
2010,8,37,32.52857143,28.84285714,26.02857143,23.4,78.42857143,198.9166667,127.5,6.85,14.25714286
2010,9,35.6,31.25714286,28,25.34285714,22.8,80.28571429,392.6666667,125,6.55,9.785714286
2010,10,33.1,27.57142857,24.62857143,22.24285714,11.1,67.28571429,37.25,22.5,11.1,6.2
2010,11,29.6,24.88571429,20.72857143,17.5,11,71,38.5,50,6.925,0.8
2010,12,29.5,21.77142857,17.3,13.45714286,0.2,64.14285714,21.5,50,8.45,0
2011,1,22.7,16.31428571,12.54285714,9.6,3,63.14285714,8.166666667,115,9.8,0
2011,2,29,19.41428571,15.72857143,12.97142857,6.2,74.85714286,23.91666667,175,7.475,0
2011,3,28.5,20.91428571,17.52857143,14.8,10.4,68,21.91666667,52.5,8.925,0
2011,4,32.8,26.74285714,22.58571429,19.44285714,14,75.28571429,40.33333333,110,7.75,0.225
2011,5,34.9,28.97142857,25.67142857,23.21428571,17.9,80.57142857,196.5833333,130,7.825,11.9875
2011,6,34.8,31.4,28.38571429,26.04285714,22.8,82,400.4166667,162.5,9.025,16.575
2011,7,36.1,31.94285714,28.61428571,26.05714286,23.5,80.28571429,242.75,157.5,7.5,14.2125
2011,8,36.4,33.18571429,29.31428571,26.37142857,23.5,75.85714286,150.6666667,180,6.2,12.25
2011,9,35.4,30.84285714,27.8,25.35714286,20,75.28571429,108.75,60,9.55,7.575
