year,month,temperature_max_abs,temperature_max_avg,temperature_avg,temperature_min_avg,temperature_min_abs,rel_humidity,total_rain,wind_dir,wind_speed,ovitrap_idx
2009,1,25.4,19.35,14.9,11.75,7.4,65,0,50,14.05,0
2009,2,30.1,24.5,20.45,18.05,14.5,81,1.25,90,14.8,0.17
2009,3,30.5,22.75,19.4,17.2,11.3,85.5,143,90,14.3,0.37
2009,4,30.2,25,21.75,19.6,15,78.5,115,95,18.2,10.35
2009,5,32.9,28.85,25.15,22.6,19.9,80,224.25,100,16.85,7.09
2009,6,33.5,30.95,27.5,25.35,23.1,87,248.25,210,13.9,13.17
2009,7,34.8,31.7,28.3,25.9,23,88.5,330.75,170,16.5,7.73
2009,8,34.7,32.25,28.65,26.45,24.3,93.5,269.5,180,11.55,13.75
2009,9,34.7,31.7,28.2,25.85,23.4,78.5,205.75,95,17.75,7.5
2009,10,32.5,29.25,25.6,23.4,21.5,87.5,5.5,95,15.05,2.32
2009,11,31.4,23.45,19.55,16.8,8.1,78,23.5,190,15.95,0.7
2009,12,25.3,19.7,16.55,14.15,7.4,86,33,50,14.45,0
2010,1,27.1,19.35,16.25,14,8,82,20.5,95,13.95,0
2010,2,28.5,20.1,17.3,15.5,6.2,89,86.5,160,16.75,0.18
2010,3,29.9,23.05,19.5,17.1,6.4,81,14.25,95,15.2,2.38
2010,4,30.5,23.9,20.8,18.6,11.8,86.5,101.25,90,16.9,4.94
2010,5,31.8,28.85,25.4,23.15,19.3,85.5,204,165,15.7,11.89
2010,6,33.3,29.4,26.5,24.65,19.7,89,272.25,220,16,8.62
2010,7,34.9,32,28.4,25.95,23.2,85.5,174.5,220,15.55,11.34
2010,8,34,31.35,27.9,25.5,23.2,86.5,183.75,105,11.75,7.58
2010,9,34.3,30.4,27.15,24.9,22.2,87.5,478,175,12.75,6.73
2010,10,32.3,27.45,24.2,21.95,14.8,75.5,21.75,50,17.75,2.32
2010,11,27.9,24.65,20.7,18.1,15.3,74.5,36,95,13.3,0.91
2010,12,28.5,21.65,17.5,14.3,2.8,68.5,20.25,50,14.75,0
2011,1,20.7,16.55,12.65,10,4.8,69,2.25,20,14.6,0
2011,2,25.9,18.85,15.4,13.15,6.6,80,9.75,90,11.85,0
2011,3,28,20.85,17.2,14.6,11.2,73.5,29.25,90,12.5,0
2011,4,30.8,26.35,22.25,19.7,16.4,78.5,34.25,95,12.3,0
2011,5,34.6,29.25,25.55,23.2,18.6,82,170.25,170,12.3,11.35833333
2011,6,35.3,31.25,27.95,25.7,23.9,84.5,336.25,205,16.4,11.7
2011,7,34.4,31.45,28.15,26,24.3,84,185.75,215,13.35,15.175
2011,8,35.5,32.45,28.85,26.4,24,80.5,115.25,215,9.95,6.591666667
2011,9,33.6,30.4,27.35,25.15,21.9,78,92.5,95,17.75,5.891666667
2011,10,31.5,27.55,24.3,22.25,19.2,79.5,87.5,95,16,2.825
2011,11,30.6,25.6,22.5,20.7,16,80,94.25,95,14.75,0.9
2011,12,24.5,20.1,16.25,13.4,7.8,64,1.25,50,15,0.433333333
2012,1,23.5,16.75,14,12.1,5.7,83,46.75,20,12.05,0
2012,2,28.1,18.35,15.6,13.45,8.1,84.5,32.5,45,12.95,0
2012,3,29.6,22.35,19,16.85,10.6,84,23.5,90,14.2,0.416666667
2012,4,30.8,26.35,23.4,21.3,17.8,86.5,303.75,160,14.4,7.341666667
2012,5,33.5,29.7,26.8,25.05,23.5,85.5,164.75,95,18.15,15.65833333
2012,6,34.1,30.45,27.6,25.65,23.9,84.5,100.5,170,18.1,9.883333333
2012,7,35.3,31.1,27.95,25.75,23.5,84.5,360.75,215,16.4,4.966666667
2012,8,35.8,32.35,28.7,26.25,24,81.5,71.25,220,11.8,7.283333333
2012,9,34,31.2,27.35,24.85,21.7,75,46,105,14.25,4.775
2012,10,31.1,28.65,25.1,22.85,16.8,72.5,53.25,95,15.85,2.325
2012,11,30.1,24.6,21.6,19.65,12.2,81.5,58.25,90,16,0.775
2012,12,26.5,20,17.25,14.8,5.7,79.5,45.5,45,16.15,0.141666667
2013,1,26.4,19.8,16.1,13.65,9.6,72,1.5,220,12.1,0.158333333
2013,2,26.4,22.3,18.7,16.5,10.8,80,1,90,12.75,0
2013,3,29.8,24.15,20.35,17.9,11.3,79,122.25,90,13.4,0.15
2013,4,31.7,24.25,21.45,19.4,13.8,85.5,160,90,14.8,2.341666667
2013,5,33.9,28.35,25.45,23.45,15.9,88,289.75,165,13.45,12.68333333
2013,6,34.8,30.8,27.75,25.65,21.6,85.5,282.5,215,16.15,12.80833333
2013,7,34.4,30.6,27.6,25.45,23.7,85.5,336.25,120,15.4,3.975
2013,8,33.8,30.65,28,25.75,23.5,85,199,175,16.3,4.1
2013,9,35.6,29.95,27.05,25.05,22,81,349.5,95,16.45,5.758333333
2013,10,31.9,29.05,25.15,22.65,18,69.5,1.5,100,13.95,1.208333333
2013,11,30.4,24.55,21.3,18.8,11.3,71,44.25,95,17.15,0.5
2013,12,26.6,19.5,15.5,12.75,6.9,63.5,102.25,45,13.45,0
2014,1,24.9,20.1,15.95,13,8.4,67.5,0,50,13.45,0
2014,2,25.9,18.3,15,12.6,5.2,81.5,33.75,90,15.2,0
2014,3,28.1,21.5,18.6,16.6,12.3,82,142,90,14.45,0
2014,4,30.5,25.4,22.55,20.65,17.1,85,118.25,90,14.1,1.75
2014,5,34,28.9,26.1,24.1,18,87.5,541.75,210,15.95,13.5
2014,6,34.2,31.4,28.4,26.2,23.9,83.5,358.25,210,12.9,9.008333333
2014,7,34.6,32.3,29.1,26.7,24.4,84.5,139.75,210,12.9,6.466666667
2014,8,35.2,31.55,28.2,25.65,22.7,85,381.75,235,12.55,5.775
2014,9,35.1,31.95,28.3,25.95,23.8,81,46.25,130,13.05,3.658333333
2014,10,33,29.4,25.8,23.45,20.8,72,37.25,95,15,1.608333333
2014,11,30.6,25.2,22.2,20.2,16.7,79.5,37.25,90,14.2,0.3
2014,12,23.6,18.55,15.45,12.85,8.3,69,30.25,50,15.7,0
2015,1,24.8,19.85,16,13.45,8.4,74,23,100,13.1,0
2015,2,27.4,20.8,17.5,15.25,9.1,77.5,35.5,90,14.15,0
2015,3,30.4,22.75,19.9,18.15,13.5,84,13.25,90,14.3,0.158333333
2015,4,32.4,26.65,22.95,20.25,14.3,80,52.5,180,12.25,1.583333333
2015,5,33.7,29.95,27,24.9,21.3,87.5,426.5,210,15.25,6.1
2015,6,35,32.2,28.85,26.55,24.3,85.5,190.75,215,14.45,8.225
2015,7,34.8,31.4,28.25,26,23.5,85,357.5,210,14.05,4.125
2015,8,36.7,31.85,28.35,25.95,23.1,83.5,136.75,220,9.55,5.775
2015,9,34.5,30.9,27.6,25.55,23.3,81,78.5,95,12.5,6.083333333
2015,10,33.2,28.75,25.3,23.1,17.5,78,176.5,95,15.15,2.853846154
2015,11,30.9,26.55,23.55,21.5,12.6,78.5,8.25,90,16,0.684615385
2015,12,27.7,20.45,17.75,15.75,8.8,78,52,40,14.2,0
2016,1,23.7,17.8,15.35,13.4,1.6,84,248.75,80,15.05,0
2016,2,26.7,18.1,14.65,12.15,7.5,74,26.75,185,12.95,0
2016,3,27.2,20.4,17.35,15.05,8.3,84,127.25,85,13.3,0
2016,4,30.9,26.15,23.3,21.3,18.4,89.5,196.5,160,13.3,1.269230769
2016,5,33,29.05,26.2,24,19.7,85,222.75,155,15.1,10.03076923
2016,6,35.3,31.75,28.45,26.4,23.3,86,219.5,205,12.7,12.60769231
2016,7,35.5,31.95,28.8,26.4,23.5,84.5,171.5,205,12.55,9.861538462
2016,8,34.6,30.4,27.35,25.4,23,88.5,446.5,170,11.35,6.038461538
2016,9,34.9,30,27.05,25.05,21.6,83.5,253.25,90,12,6.907692308
2016,10,33.3,28.95,25.9,23.85,19.9,84,178.75,45,14.6,6.907692308
2016,11,29.5,24.5,21.35,19,11.2,81.5,102.5,220,14.55,0.4
2016,12,27.8,22,18.9,16.4,9.9,71,11.5,45,13.55,0.146153846
2017,1,26,20.65,17.85,16,11.7,80,7.5,85,12.35,0
2017,2,26.5,19.9,16.3,13.85,9.1,75,29,90,14.35,0
2017,3,28.7,22.1,19.15,16.85,12.2,81.5,39,90,14,0.138461538
2017,4,31.5,25.85,22.45,20.05,13.7,84,93,165,12.6,1.676923077
2017,5,33.1,28.1,25.3,23.3,21.3,85,234.5,105,12.55,12.70769231
2017,6,34.4,31.05,28.15,26.15,23.1,90.5,384,210,15.65,7.946153846
2017,7,35.6,30.75,27.85,25.75,23.6,87,353.5,100,14.35,9.546153846
