Year ,Month ,O.I (%)
2008,1,0
2008,2,0
2008,3,0
2008,4,2.8
2008,5,11.1
2008,6,8.3
2008,7,8.3
2008,8,2.9
2008,9,5.7
2008,10,2.9
2008,11,2.9
2008,12,0
2009,1,0
2009,2,0
2009,3,0
2009,4,0
2009,5,13.9
2009,6,30.6
2009,7,5.6
2009,8,19.4
2009,9,5.9
2009,10,0
2009,11,0
2009,12,0
2010,1,0
2010,2,2.8
2010,3,2.8
2010,4,0
2010,5,8.3
2010,6,0
2010,7,5.6
2010,8,8.3
2010,9,8.3
2010,10,2.9
2010,11,0
2010,12,0
2011,1,0
2011,2,0
2011,3,0
2011,4,0
2011,5,5.6
2011,6,13.9
2011,7,16.7
2011,8,2.9
2011,9,2.9
2011,10,2.9
2011,11,2.9
2011,12,0
2012,1,0
2012,2,0
2012,3,0
2012,4,0
2012,5,5.7
2012,6,5.6
2012,7,5.6
2012,8,2.8
2012,9,5.7
2012,10,0
2012,11,0
2012,12,0
2013,1,0
2013,2,0
2013,3,0
2013,4,0
2013,5,5.6
2013,6,2.8
2013,7,5.6
2013,8,5.7
2013,9,2.8
2013,10,0
2013,11,0
2013,12,0
2014,1,0
2014,2,0
2014,3,0
2014,4,0
2014,5,2.9
2014,6,11.8
2014,7,20.6
2014,8,13.9
2014,9,5.6
2014,10,0
2014,11,0
2014,12,0
2015,1,0
2015,2,0
2015,3,0
2015,4,5.6
2015,5,5.6
2015,6,11.1
2015,7,5.6
2015,8,0
2015,9,2.8
2015,10,2.8
2015,11,0
2015,12,0
2016,1,0
2016,2,0
2016,3,0
2016,4,0
2016,5,11.4
2016,6,8.8
2016,7,5.6
2016,8,2.8
2016,9,8.8
2016,10,8.6
2016,11,0
2016,12,0
2017,1,0
2017,2,0
2017,3,0
2017,4,0
2017,5,11.4
2017,6,5.6
2017,7,2.8
2017,8,2.8
2017,9,0
2017,10,2.8
2017,11,0
2017,12,0
2018,1,0
2018,2,0
2018,3,0
2018,4,0
2018,5,2.9
2018,6,2.8
2018,7,5.8
2018,8,0
2018,9,
2018,10,
2018,11,
2018,12,
