year,1,2,3,4,5,6,7,8,9,10,11,12
2008,0.0,0.0,0.0,2.8,11.1,8.3,8.3,2.9,5.7,2.9,2.9,0.0
2009,0.0,0.0,0.0,0.0,13.9,30.6,5.6,19.4,5.9,0.0,0.0,0.0
2010,0.0,2.8,2.8,0.0,8.3,0.0,5.6,8.3,8.3,2.9,0.0,0.0
2011,0.0,0.0,0.0,0.0,5.6,13.9,16.7,2.9,2.9,2.9,2.9,0.0
2012,0.0,0.0,0.0,0.0,5.7,5.6,5.6,2.8,5.7,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,5.6,2.8,5.6,5.7,2.8,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,2.9,11.8,20.6,13.9,5.6,0.0,0.0,0.0
2015,0.0,0.0,0.0,5.6,5.6,11.1,5.6,0.0,2.8,2.8,0.0,0.0
2016,0.0,0.0,0.0,0.0,11.4,8.8,5.6,2.8,8.8,8.6,0.0,0.0
2017,0.0,0.0,0.0,0.0,11.4,5.6,2.8,2.8,0.0,2.8,0.0,0.0
2018,0.0,0.0,0.0,0.0,2.9,2.8,11.8,5.8,0.0
