Date,County,Town,Village,VillageID,HouseHold,InspectType,PosHH,PosHHAeg,ConIn,ConOut,ConAll,PosConIn,PosConOut,PosConAll,FAegIn,FAegOut,LarvaAeg,BI,AIAeg,AIAlb,LI,CI
1/2/2010,???,???,???,6401200-045,60,??,2,2,23,12,35,0,2,2,1,1,0,3.333,0.033,0,0,5.714
1/4/2010,???,???,???,6401200-065,50,??,1,1,17,14,31,1,0,1,0,0,2,2,0,0,4,3.225
1/4/2010,???,???,???,6401200-077,50,??,1,1,20,9,29,1,0,1,0,0,8,2,0,0,16,3.448
1/5/2010,???,???,???,6401200-043,50,??,1,1,15,6,21,1,0,1,1,0,6,2,0.02,0,12,4.761
1/5/2010,???,???,???,6401200-064,50,??,1,1,10,28,38,2,0,2,0,0,5,4,0,0,10,5.263
1/5/2010,???,???,???,6401200-029,50,??,1,0,17,15,32,0,1,1,0,0,0,2,0,0,2,3.125
1/6/2010,???,???,???,6401200-057,50,??,1,1,10,10,20,0,1,1,0,0,8,2,0,0,16,5
1/6/2010,???,???,???,6401200-057,50,??,1,1,26,16,42,0,2,2,0,0,49,4,0,0,98,4.761
1/6/2010,???,???,???,6401200-032,50,??,1,1,16,5,21,1,1,2,0,0,32,4,0,0,64,9.523
1/6/2010,???,???,???,6401200-076,50,??,0,0,30,9,39,0,1,1,0,0,10,2,0,0,20,2.564
1/6/2010,???,???,???,6401200-074,50,??,2,2,17,18,35,0,3,3,0,1,35,6,0.02,0,70,8.571
1/6/2010,???,???,???,6401200-049,50,??,1,1,27,20,47,2,0,2,0,0,69,4,0,0,138,4.255
1/7/2010,???,???,???,6401200-057,50,??,2,2,26,13,39,2,0,2,0,0,9,4,0,0,18,5.128
1/7/2010,???,???,???,6401200-032,50,??,1,0,23,22,45,0,1,1,0,0,0,2,0,0,6,2.222
1/7/2010,???,???,???,6401200-027,50,??,1,1,19,15,34,0,1,1,0,0,2,2,0,0,8,2.941
1/7/2010,???,???,???,6401200-045,50,??,1,1,21,10,31,1,0,1,0,0,1,2,0,0,2,3.225
1/8/2010,???,???,???,6401200-057,51,??,1,1,21,9,30,0,1,1,0,0,30,1.96,0,0,58.823,3.333
1/8/2010,???,???,???,6401200-032,71,??,1,1,31,7,38,0,1,1,0,0,30,1.408,0,0,42.253,2.631
1/8/2010,???,???,???,6401200-045,50,??,1,1,15,15,30,0,1,1,0,0,4,2,0,0,8,3.333
1/8/2010,???,???,???,6401200-045,50,??,1,1,23,14,37,0,1,1,0,0,2,2,0,0,4,2.702
1/8/2010,???,???,???,6401200-055,50,??,1,1,27,10,37,1,0,1,0,0,30,2,0,0,60,2.702
1/8/2010,???,???,???,6401200-049,50,??,1,1,13,28,41,0,1,1,0,0,2,2,0,0,4,2.439
1/8/2010,???,???,???,6401200-073,53,??,1,1,27,18,45,1,0,1,0,0,18,1.886,0,0,33.962,2.222
1/11/2010,???,???,???,6401200-032,50,??,1,1,24,26,50,1,0,1,0,0,15,2,0,0,30,2
1/11/2010,???,???,???,6401200-055,50,??,1,1,21,22,43,0,1,1,0,0,10,2,0,0,20,2.325
1/11/2010,???,???,???,6401200-076,50,??,1,1,8,14,22,0,1,1,0,0,10,2,0,0,20,4.545
1/11/2010,???,???,???,6401200-009,50,??,1,1,6,17,23,0,1,1,0,0,1,2,0,0,10,4.347
1/12/2010,???,???,???,6401200-032,50,??,1,1,15,6,21,0,1,1,0,0,4,2,0,0,8,4.761
1/12/2010,???,???,???,6401200-032,50,??,1,1,29,9,38,0,1,1,0,0,3,2,0,0,6,2.631
1/12/2010,???,???,???,6401200-045,50,??,1,1,11,11,22,0,1,1,0,0,3,2,0,0,6,4.545
1/12/2010,???,???,???,6401200-074,50,??,1,1,14,11,25,0,1,1,0,0,10,2,0,0,20,4
1/12/2010,???,???,???,6401200-016,50,??,2,2,33,18,51,2,0,2,0,0,3,4,0,0,6,3.921
1/13/2010,???,???,???,6401200-028,50,??,2,2,9,17,26,0,2,2,0,0,12,4,0,0,24,7.692
1/13/2010,???,???,???,6401200-072,50,??,1,1,17,15,32,1,0,1,0,0,1,2,0,0,2,3.125
1/13/2010,???,???,???,6401200-057,50,??,1,0,7,41,48,0,1,1,0,0,0,2,0,0.08,2,2.083
1/13/2010,???,???,???,6401200-055,50,??,1,0,11,14,25,0,1,1,0,0,0,2,0,0,6,4
1/13/2010,???,???,???,6401200-054,50,??,1,1,16,5,21,1,0,1,0,0,15,2,0,0,30,4.761
1/13/2010,???,???,???,6401200-040,150,??,1,0,1,9,10,0,1,1,0,0,0,0.666,0,0.026,1.333,10
1/13/2010,???,???,???,6401200-077,50,??,1,1,12,17,29,0,1,1,0,0,3,2,0,0,6,3.448
1/13/2010,???,???,???,6401200-016,50,??,1,1,29,5,34,1,0,1,0,0,1,2,0,0,2,2.941
1/14/2010,???,???,???,6401200-072,50,??,2,2,21,27,48,1,1,2,0,0,25,4,0,0,50,4.166
1/14/2010,???,???,???,6401200-072,50,??,2,2,23,11,34,2,0,2,0,0,2,4,0,0,4,5.882
1/14/2010,???,???,???,6401200-027,50,??,1,1,14,18,32,0,1,1,0,0,1,2,0,0,2,3.125
1/14/2010,???,???,???,6401200-045,50,??,1,1,24,8,32,1,0,1,0,0,5,2,0,0,10,3.125
1/15/2010,???,???,???,6401200-076,50,??,1,1,20,7,27,1,0,1,0,0,6,2,0,0,12,3.703
1/15/2010,???,???,???,6401200-074,50,??,1,1,21,11,32,0,1,1,1,1,10,2,0.04,0,20,3.125
1/17/2010,???,???,???,6401200-017,50,??,1,1,25,6,31,0,1,1,0,0,3,2,0,0,6,3.225
1/17/2010,???,???,???,6401200-017,50,??,2,2,12,11,23,3,0,3,0,0,26,6,0,0,52,13.043
1/18/2010,???,???,???,6401200-072,50,??,1,1,18,18,36,0,1,1,0,0,2,2,0,0,4,2.777
1/18/2010,???,???,???,6401200-017,50,??,1,1,19,12,31,0,1,1,0,0,10,2,0,0,20,3.225
1/18/2010,???,???,???,6401200-026,50,??,1,1,23,14,37,0,1,1,0,0,20,2,0,0,40,2.702
1/19/2010,???,???,???,6401200-057,50,??,2,2,29,8,37,2,0,2,0,0,3,4,0,0,6,5.405
1/19/2010,???,???,???,6401200-070,50,??,3,0,13,24,37,0,3,3,0,0,0,6,0,0,4,8.108
1/19/2010,???,???,???,6401200-017,50,??,3,2,14,18,32,0,3,3,0,1,4,6,0.02,0.02,10,9.375
1/19/2010,???,???,???,6401200-038,50,??,1,0,26,21,47,0,1,1,0,0,0,2,0,0,2,2.127
1/19/2010,???,???,???,6401200-029,50,??,1,1,23,10,33,2,0,2,0,1,3,4,0.02,0,6,6.06
1/20/2010,???,???,???,6401200-028,50,??,1,1,8,16,24,0,1,1,0,0,20,2,0,0,40,4.166
1/20/2010,???,???,???,6401200-071,50,??,2,2,17,12,29,2,0,2,0,0,3,4,0,0,6,6.896
1/20/2010,???,???,???,6401200-043,50,??,1,1,18,13,31,1,0,1,1,0,15,2,0.02,0,30,3.225
1/20/2010,???,???,???,6401200-017,50,??,1,1,8,20,28,0,1,1,0,0,4,2,0,0,8,3.571
1/20/2010,???,???,???,6401200-026,50,??,1,1,24,16,40,3,0,3,0,0,6,6,0,0,12,7.5
1/20/2010,???,???,???,6401200-034,50,??,2,2,13,17,30,2,1,3,2,0,20,6,0.04,0,40,10
1/20/2010,???,???,???,6401200-075,50,??,1,1,17,10,27,1,0,1,0,0,3,2,0,0,6,3.703
1/20/2010,???,???,???,6401200-029,50,??,2,2,16,14,30,0,2,2,0,0,27,4,0,0,54,6.666
1/20/2010,???,???,???,6401200-016,50,??,1,1,19,6,25,0,1,1,0,0,2,2,0,0,4,4
1/21/2010,???,???,???,6401200-070,50,??,2,1,5,23,28,0,3,3,0,0,3,6,0,0,34,10.714
1/21/2010,???,???,???,6401200-027,50,??,1,1,23,26,49,0,1,1,0,0,4,2,0,0,8,2.04
1/21/2010,???,???,???,6401200-036,50,??,1,1,16,25,41,0,1,1,0,0,0,2,0,0,12,2.439
1/22/2010,???,???,???,6401200-071,50,??,1,0,35,11,46,0,1,1,0,0,0,2,0,0,2,2.173
1/22/2010,???,???,???,6401200-017,50,??,2,2,21,8,29,1,1,2,0,2,33,4,0.04,0,66,6.896
1/22/2010,???,???,???,6401200-054,50,??,1,1,32,2,34,1,0,1,1,0,28,2,0.02,0,56,2.941
1/22/2010,???,???,???,6401200-074,50,??,1,1,12,14,26,1,0,1,0,0,4,2,0,0,8,3.846
1/22/2010,???,???,???,6401200-075,50,??,2,2,14,9,23,2,0,2,0,0,6,4,0,0,12,8.695
1/22/2010,???,???,???,6401200-029,50,??,2,1,27,13,40,1,1,2,0,0,20,4,0,0,64,5
1/24/2010,???,???,???,6401200-032,50,??,1,1,12,11,23,0,1,1,0,0,10,2,0,0,20,4.347
